code,current,name,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,disciplines,events,birth_place,birth_country,residence_place,residence_country,occupation,lang,age,medal_date,medal_type,medal_code,discipline,event,event_type,is_medallist,medallist_binary,in_team
1568866,True,WANG Yang,Male,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Table Tennis'],"[""Men's Singles""]",ANHUI,China,unspecified,unspecified,Athlete,"English, Mandarin, Slovak",29,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568874,True,KRISTO Katarina,Female,Athlete,CRO,Croatia,Croatia,Croatia,Croatia,CRO,['Judo'],['Women -63 kg'],SPLIT,Croatia,KA?TELA,Croatia,"Athlete, student","Croatian, English",22,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568999,True,BRANSER Marie,Female,Athlete,GUI,Guinea,Guinea,Guinea,Guinea,GUI,['Judo'],['Women -78 kg'],LEIPZIG,Germany,LEIPZIG,Germany,Sports director of SC DHfK Leipzig Judo,"English, French, German",31,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569009,True,ESTEVES Mariana,Female,Athlete,GUI,Guinea,Guinea,Guinea,Guinea,GUI,['Judo'],['Women -57 kg'],LISBON,Portugal,LISBON,Portugal,Judo teacher for young kids,"English, French, Portuguese, Spanish",28,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569080,True,KISS Agnes Anna,Female,Athlete,HUN,Hungary,Hungary,Hungary,Hungary,HUN,['Canoe Sprint'],"[""Women's Canoe Single 200m"", ""Women's Canoe Double 500m""]",SZEGED,Hungary,SZEGED,Hungary,Athlete,Hungarian,19,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,True
1569169,True,SODERQVIST Jakob,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Cycling Road'],"[""Men's Road Race""]",SUNDSVALL,Sweden,unspecified,unspecified,Athlete,Swedish,21,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569170,True,ANDERSSON Caroline,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Cycling Road'],"[""Women's Road Race""]",HALMSTAD,Sweden,unspecified,unspecified,Athlete,Swedish,22,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569182,True,DIALLO Demba,Male,Athlete,MLI,Mali,Mali,Mali,Mali,MLI,['Football'],['Men'],KAYES,Mali,unspecified,Türkiye,Athlete,French,23,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,True
1569198,True,LINDFORS Caisa-Marie,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Discus Throw""]",UPPSALA,Sweden,"BERKELEY, CA",United States,Athlete,"English, Swedish",23,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569201,True,WIKSTROM Carolina,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Marathon""]",HUDIKSVALL,Sweden,STENHAMRA,Sweden,"Athlete, doctor","English, Swedish",30,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569203,True,DUPLANTIS Armand,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's Pole Vault""]","LAFAYETTE, LA",United States,STOCKHOLM,Sweden,Athlete,"English, Swedish",24,2024-08-05,Gold Medal,1.0,Athletics,Men's Pole Vault,ATH,True,1,False
1569205,True,JOHANSSON Axelina,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Shot Put""]",SVENARUM,Sweden,HAGAFORS,Sweden,Athlete,"English, Swedish",24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569208,True,BENGTSTROM Carl,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 400m Hurdles""]",LANDVETTER,Sweden,LANDVETTER,Sweden,Athlete,Swedish,24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569210,True,STAHL Daniel,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's Discus Throw""]",SOLNA,Sweden,MALMO,Sweden,Athlete,"Finnish, Swedish",31,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569225,True,ROOS Fanny,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Shot Put""]",RYSSBY,Sweden,MALMO,Sweden,Athlete,Swedish,29,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569233,True,LARSSON Henrik,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 100m""]",unspecified,unspecified,KARLSTAD,Sweden,Athlete,Swedish,24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569259,True,KRAMER Andreas,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 800m""]",PARTILLE,Sweden,STOCKHOLM,Sweden,Athlete,Swedish,27,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569266,True,HENRIKSSON Julia,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",BJUV,Sweden,BJUV,Sweden,Athlete,Swedish,24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569270,True,ALMGREN Andreas,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 5000m""]",SOLLENTUNA,Sweden,SOLLENTUNA,Sweden,"Athlete, data analyst","English, Swedish",29,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569288,True,ASKAG Maja,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Triple Jump""]",FORS,Sweden,ESKILSTUNA,Sweden,Athlete,Swedish,21,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569315,True,DOUCOURE Fode,Male,Athlete,MLI,Mali,Mali,Mali,Mali,MLI,['Football'],['Men'],BAMAKO,Mali,unspecified,France,Athlete,French,23,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,True
1569318,True,LINDAHL Nora,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's 200m""]",LUXEMBOURG,Luxembourg,LUXEMBOURG,Luxembourg,Athlete,Swedish,19,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569320,True,EDLUND Oskar,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 400m Hurdles""]",VAXHOLM,Sweden,"LUBBOCK, TX",United States,Athlete,"English, Swedish",21,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569323,True,KARLSTROM Perseus,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 20km Race Walk""]",ESKILSTUNA,Sweden,ESKILSTUNA,Sweden,Athlete,"Spanish, Swedish",34,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569324,True,CARLSSON Ragnar,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's Hammer Throw""]",LJUNGBY,Sweden,FALUN,Sweden,Athlete,Swedish,23,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569325,True,PIHLSTROM Samuel,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 1500m""]",GOTHENBURG,Sweden,GOTHENBURG,Sweden,Athlete,Swedish,23,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569335,True,HASSAN Suldan,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's Marathon""]",unspecified,Somalia,GOTHENBURG,Sweden,Athlete,"Somali, Swedish",26,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569336,True,LOFMAN Thea,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Hammer Throw""]",unspecified,unspecified,LUND,Sweden,Athlete,Swedish,20,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569337,True,MONTLER Thobias,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's Long Jump""]",LANDSKRONA,Sweden,GOTHENBURG,Sweden,Athlete,"English, Swedish",28,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569340,True,KAMGA Vanessa,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Women's Discus Throw""]",VILHELMINA,Sweden,UPPSALA,Sweden,Athlete,Swedish,25,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569347,True,ERLANDSSON Erik,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,['Athletics'],"[""Men's 200m""]",MALMO,Sweden,GENARP,Sweden,Athlete,"English, Swedish",20,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569362,True,GUTIERREZ Israel,Male,Athlete,ESA,El Salvador,El Salvador,El Salvador,El Salvador,ESA,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",SAN SALVADOR,El Salvador,SAN SALVADOR,El Salvador,Student,Spanish,32,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569377,True,TJON EN FA Jair,Male,Athlete,SUR,Suriname,Suriname,Suriname,Suriname,SUR,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint""]",PARAMARIBO,Suriname,AIGLE,Switzerland,Athlete,"Dutch, English",30,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1569444,True,MEDINA ROCA Ayamey Damiana,Female,Athlete,CUB,Cuba,Cuba,Cuba,Cuba,CUB,['Weightlifting'],"[""Women's 81kg""]",unspecified,unspecified,VILLA BLANCA,Cuba,Athlete,Spanish,26,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
